CODE,DOMES,STATION DESCRIPTION,LAT,LONG,HEIGHT
CHZZ,49764M001,TILLAMOOK OREGON  UNI,45.48652778,236.0218889,50.8
CIBG,23101M005,Cibinong INDONES IA,-6.490361111,106.8491667,167.1
CIT1,40400S201,Pasadena - JPL Me sa U,34.13672222,241.8727222,215.3
CKIS,50213M003,Rarotonga NEW ZE ALAND,-21.20102778,200.1993889,18.4
CKSV,23606M002,Tainan TAIWAN ,22.99886111,120.22,59.7
CLGO,49935M001,COLLEGE/ALASKA U NITED,64.87377778,212.1395,196.1
CLRK,66104M001,Clarke Mountains ANTA,-77.34008333,218.1261944,999.8
CMUM,21908M001,Chiang Mai II TH AILAN,18.76088889,98.93238889,309
CN00,44103M001,Barbuda__ATG2012 ANTI,17.66852778,298.2144167,-21.9
CN12,42603M001,UWI_Mona_JAM2011 JAMA,18.00447222,283.2509444,169.9
CN35,44467M001,Prvdncia_COL2012 COLO,13.3755,278.6370833,47.9
CN40,86201M001,Curacao__CUW2011 CURA,12.18005556,291.042,33.3
CNCL,50246M001,Conical Hill NEW ZEAL,-43.66622222,169.8558611,1222.4
CNMR,50512M001,CAPITAL HILL/SAIP AN A,15.22969444,145.7430833,62.4
COCO,50127M001,Coco Islands AUS TRALI,-12.18833333,96.83397222,-37.3
CORD,41511M001,Cordoba GPS site ARGE,-31.52844444,295.5299444,746.8
COST,11407M001,Constanta ROMANI A,44.1615,28.65752778,46.2
COTE,66096M001,Mount Coates ANT ARTIC,-77.80591667,161.9978056,1878.4
CPVG,39601M001,Palmeira - Cape V erde,16.73205556,337.0650556,92.1
CRAR,66001M004,Mac Murdo ANTART ICA,-77.84805556,166.66825,-19.9
CRAT,41619M001,Crato BRAZIL ,-7.238027778,320.5843889,436
CRAU,18645M001,La Crau FRANCE ,43.12388889,6.076,95.1
CRFP,40481M001,Yucaipa UNITED S TATES,34.03905556,242.9003056,688.8
CRLV,49135M001,Charlevoix CANAD A,47.54988889,289.6733611,412.4
CRO1,43201M001,SAINTE CROIX AME RICAN,17.75688889,295.4156944,-33.9
CSAR,20713M001,Ceasarya ISRAEL ,32.48825,34.89019444,36.6
CTGR,49404M001,Groton UNITED ST ATES,41.33530556,287.9502778,-19.6
CUSV,21904S001,Bangkok THAILAND ,13.73591667,100.5339167,74.2
CYNE,42807M001,Cayenne GUYANA ,4.821944444,307.6345833,-22.8
CZTG,91301M002,ILE DE LA POSSESS ION (,-46.43188889,51.85547222,200.9
DAEJ,23902M002,Daejeon SOUTH KO REA (,36.39941667,127.3744722,116.9
DARE,13208S001,Daresbury UNITED KING,53.34480556,357.3595278,88.4
DARW,50134M001,Darwin I AUSTRAL IA,-12.84369444,131.13275,125.1
DAV1,66010M001,Davis ANTARTICA ,-68.57733333,77.97261111,44.4
DEHA,97113M001,Deshaies GUADELO UPE,16.30530556,298.2040833,-35.6
DGAR,30802M001,DIEGO GARCIA BRI TISH,-7.269666667,72.37025,-64.9
DHLG,49904M001,DURMID HILL UNIT ED ST,33.38980556,244.2119722,-83.1
DIPL,19850M001,Dinart Pleurtuit FRAN,48.58994444,357.9240278,116.1
DIPP,19628M001,Dieppe Port auton ome,49.92919444,1.084472222,55.2
DJIG,39901M005,Observatoire Geop hysiq,11.52627778,42.84705556,709.4
DLF1,13502M009,DELFT THE NEDERL ANDS,51.98602778,4.387472222,75.8
DPRT,59705M001,Devonport High Sc hool,-41.17861111,146.3496111,33.4
DRAG,20710S001,METZOKI DRAGOT I SRAEL,31.59319444,35.39208333,31.9
DRAO,40105M002,Penticton CANADA ,49.32261111,240.3750278,540
DSL1,49518S001,PRUDHOE BAY I (CO RS),70.33344444,211.52725,17
DUB2,11901M002,Dubrovnik CROATI A,42.65016667,18.11033333,457.9
DUBO,40137M001,LAC DU BONNET CA NADA,50.25880556,264.1338056,245.3
DUMG,91501M003,Ile des Petrels TERRE,-66.66519444,140.0021944,-1.7
DUND,50212M003,Dunedin NEW ZEAL AND,-45.88366667,170.5971667,386.9
DUNQ,19670M001,Dunkerque maregra phe -,51.04808333,2.366694444,51.1
DWI1,49265M001,CLUTE COOP UNITE D STA,29.01361111,264.5963333,-20.1
DYNG,12602M006,Dionysos GREECE ,38.07855556,23.93244444,508.6
EBRE,13410M001,ROQUETES - TORTOS A SP,40.82088889,0.492361111,105.9
ECSD,49576M002,SIOUX FALLS UNIT ED ST,43.73369444,263.386,444.4
EGAN,49201M001,EGAN_BRGN_NV1997 UNIT,39.34525,245.0611389,1998.3
EIL3,49805S002,Eielson AFB UNIT ED ST,64.68788889,212.8869722,177.2
EIL4,49805S002,Eielson AFB UNIT ED ST,64.68788889,212.8869722,177.2
ELAT,20706M001,ELAT ISRAEL ,29.50927778,34.92061111,29.5
ESCU,40168M001,Escuminac CANADA ,47.07341667,295.2012778,-16
ESPA,50177M002,Esperance AUSTRA LIA,-33.87430556,121.8943333,32.4
EUR2,40153M002,Eureka Nunavut T errit,79.98894444,274.0624167,29
EXMO,19167M001,Exmouth UNITED K INGDO,50.61344444,356.5899444,65.7
EXMT,59939M001,Exmouth AUSTRALI A,-21.96066667,114.1133889,16.4
EYAC,49402M001,Cordova UNITED S TATES,60.54869444,214.2501389,146
